ROI,ECM_cancer_dim0_entropy,ECM_cancer_dim0_number_of_points
CRUK0052_R4,0.45625251683691664,76
CRUK0037_R5_ROI_2,0.4272371725068937,55
CRUK0001_R3_ROI_1,0.43640923309262936,69
CRUK0009_R3_ROI_1,0.4414194588993472,81
CRUK0002_R1_ROI_1,0.4332699526149427,66
CRUK0001_R2_ROI_2,0.4074828046462561,48
CRUK0024_R7_ROI_1,0.3807758595249419,37
CRUK0004_R3_ROI_1,0.3078312421662362,18
CRUK0009_R3_ROI_2,0.4460582720073821,65
CRUK0036_R2_ROI_2,0.41664530758792667,56
CRUK0036_R2_ROI_1,0.3755345885207483,38
CRUK0001_R2_ROI_1,0.3993125524013104,42
CRUK0002_R1_ROI_2,0.39068949825544336,41
CRUK0034_R1_ROI_2,0.4430041230240268,71
CRUK0024_R8,0.4132250297333055,51
CRUK0041_R2_ROI_1,0.418843273746455,54
CRUK0012_R1_ROI_2,0.42964374188624666,63
CRUK0034_R1_ROI_1,0.4399957812429511,71
CRUK0037_R4_ROI_1,0.43298160298769633,70
CRUK0001_R1_ROI_2,0.4087361349183196,59
CRUK0012_R1_ROI_1,0.4625703488797557,89
CRUK0052_R3,0.3616449460441239,35
CRUK0057_R2_ROI_1,0.41068595432312105,51
CRUK0009_R4_ROI_1,0.38513078768204145,39
CRUK0051_R4_ROI_1,0.42605463670609556,64
CRUK0024_R7_ROI_2,0.4488029949125581,82
CRUK0001_R3_ROI_2,0.3986409400674588,43
CRUK0046_R3_ROI_1,0.40992247086853306,50
CRUK0009_R2,0.32026092081958957,21
CRUK0048_R2,0.3962356345346784,42
CRUK0034_R3,0.5005139845986436,133
CRUK0036_R1_ROI_2,0.41422290798504086,51
CRUK0002_R2_ROI_2,0.4420338350764093,72
CRUK0015_R1,0.4098793719062042,53
CRUK0046_R3_ROI_2,0.4270348968666381,63
CRUK0041_R2_ROI_2,0.4025892147975626,45
CRUK0010_R1_ROI_2,0.3952043367421879,43
CRUK0036_R3_ROI_2,0.2977156701816508,18
CRUK0010_R1_ROI_1,0.3424606875303877,26
CRUK0046_R4_ROI_2,0.3998281229803929,46
CRUK0010_R2,0.3317466221531239,21
CRUK0036_R1_ROI_1,0.3670675330626646,33
CRUK0001_R1_ROI_1,0.36474080801455805,33
CRUK0052_R1_ROI_1,0.4517503871871875,75
CRUK0002_R3_ROI_2,0.4202670815775276,59
CRUK0015_R2,0.40235361387679225,43
CRUK0024_R2,0.3824130264210142,30
CRUK0057_R2_ROI_2,0.38178574136209986,49
CRUK0052_R1_ROI_2,0.39972046787454424,45
CRUK0002_R2_ROI_1,0.39896217931144423,52
CRUK0004_R3_ROI_2,0.2948283122500713,18
CRUK0036_R3_ROI_1,0.42292649913648905,53
CRUK0002_R3_ROI_1,0.40750752884676555,50
CRUK0009_R4_ROI_2,0.43270947307885643,66
CRUK0003_R6,0.3477856849071411,27
CRUK0046_R4_ROI_1,0.45247984427129984,78
CRUK0051_R4_ROI_2,0.4125267262182311,51
CRUK0006_R2_ROI_1,0.32978946542585424,23
CRUK0024_R1,0.4380821784972981,58
