ROI,ECM_dim0_umap_coord1,ECM_dim0_umap_coord2
CRUK0037_R5_ROI_1,3.8299455516708845,-0.4691763580414036
CRUK0052_R4,10.412628227072465,-5.1425150815970015
CRUK0037_R5_ROI_2,5.249590411899158,-1.7446034384807687
CRUK0001_R3_ROI_1,4.640616029700643,-0.9412004040201523
CRUK0009_R3_ROI_1,10.179873291330846,-2.9078885274601514
CRUK0002_R1_ROI_1,9.356630103023752,-2.4410247956293887
CRUK0001_R2_ROI_2,0.9176226027127091,-3.1959601419489516
CRUK0024_R7_ROI_1,9.796202033814605,-2.703244099066805
CRUK0004_R3_ROI_1,8.680437326976783,-3.0842047026655957
CRUK0009_R3_ROI_2,5.513841559306776,-1.9472813272535403
CRUK0036_R2_ROI_2,10.646298433187212,-5.764836579348157
CRUK0006_R2_ROI_2,0.10977791039283959,-1.7704578688896124
CRUK0001_R2_ROI_1,1.1179693495175846,-2.9694233834526274
CRUK0036_R2_ROI_1,9.861675343979842,-2.5446625702048964
CRUK0002_R1_ROI_2,8.199034431277939,-2.4580795345449125
CRUK0047_R1,10.741474729140116,-5.951040739185824
CRUK0034_R1_ROI_2,2.0969839578471463,-1.6859441641035846
CRUK0024_R8,4.257884230956464,-0.7587881844580723
CRUK0041_R2_ROI_1,-9.419854368194954,-6.297067964193763
CRUK0012_R1_ROI_2,1.098363219873708,-2.821819930796857
CRUK0034_R1_ROI_1,2.6420649514186567,-1.378731437762925
CRUK0037_R4_ROI_1,10.344480120990093,-3.2085571696341724
CRUK0001_R1_ROI_2,0.11352140525728313,-1.4882535467960762
CRUK0012_R1_ROI_1,-8.536155877445621,-6.224928989331652
CRUK0052_R3,4.171120020427547,-1.965580982365389
CRUK0057_R2_ROI_1,0.21268914268744257,-1.5605938892039386
CRUK0009_R4_ROI_1,-8.964003120275878,-5.8369319603699354
CRUK0051_R4_ROI_1,-8.565894374370677,-6.009193317177406
CRUK0024_R7_ROI_2,2.8951656805848405,-1.2124700690323624
CRUK0001_R3_ROI_2,1.5356708220916464,-1.7988103536985036
CRUK0046_R3_ROI_1,11.321244939450196,-6.503279880730629
CRUK0009_R2,-8.806124752160475,-6.350883648396753
CRUK0048_R2,3.755299692179389,-1.2925646302321632
CRUK0034_R3,-9.612228603272582,-5.968045452245638
CRUK0036_R1_ROI_2,10.901363652956189,-6.18895661499378
CRUK0002_R2_ROI_2,4.0743655329915,-0.38668216935468513
CRUK0015_R1,-8.826946718106598,-6.274099818618065
CRUK0046_R3_ROI_2,10.035486208335154,-3.1124786025457047
CRUK0041_R2_ROI_2,-8.964550167388238,-6.552223109234721
CRUK0010_R1_ROI_2,8.1172297772553,-2.554339800424053
CRUK0036_R3_ROI_2,10.600405036959392,-5.291694699387074
CRUK0010_R1_ROI_1,3.8345980633336136,-1.8810998107581183
CRUK0046_R4_ROI_2,11.412210816707232,-6.383253383999639
CRUK0010_R2,8.602577044410868,-2.6738104520526607
CRUK0036_R1_ROI_1,11.132986321861233,-6.396568585274672
CRUK0001_R1_ROI_1,-9.046438364228786,-5.655691026651953
CRUK0052_R1_ROI_1,4.927811768182132,-0.7846577940391423
CRUK0002_R3_ROI_2,1.314428018345583,-2.375542227797109
CRUK0015_R2,8.303030620055688,-2.7271300514462142
CRUK0024_R2,-9.846384897250365,-5.715605767152944
CRUK0057_R2_ROI_2,3.1917003573341725,-1.1572637116676288
CRUK0052_R1_ROI_2,5.125080819118961,-1.1086485549866136
CRUK0002_R2_ROI_1,0.30108628802340504,-2.073199628012243
CRUK0004_R3_ROI_2,8.941618378197544,-3.266944905032735
CRUK0036_R3_ROI_1,11.333080100897591,-6.5039835323127395
CRUK0002_R3_ROI_1,5.383285663243692,-0.9263294653680456
CRUK0009_R4_ROI_2,-9.459580239993855,-6.2036105750255786
CRUK0003_R6,1.1385453132049943,-3.389678715884173
CRUK0046_R4_ROI_1,9.619866890599477,-3.6554082373385732
CRUK0051_R4_ROI_2,3.9929851184209504,-1.7512372728300967
CRUK0006_R2_ROI_1,0.948976099451617,-2.651942573105533
CRUK0024_R1,3.49994165893356,-0.6038757895265848
