ROI,ECM_leukocytes_dim1_umap_coord1,ECM_leukocytes_dim1_umap_coord2
CRUK0052_R4,-3.346792298960683,1.3908845796818474
CRUK0037_R5_ROI_2,-5.5732376053489645,1.613441713139006
CRUK0001_R3_ROI_1,-5.8876253890695205,1.4292568859426051
CRUK0009_R3_ROI_1,-4.453135780416092,0.11031354162530016
CRUK0002_R1_ROI_1,-5.493468573689913,-0.2754207137446759
CRUK0001_R2_ROI_2,0.574142441624206,1.4538408837044305
CRUK0024_R7_ROI_1,-6.253873738836846,0.5874288029200134
CRUK0004_R3_ROI_1,0.13960792457718865,1.5281570875551442
CRUK0009_R3_ROI_2,-2.6342669265346825,0.8639204929868873
CRUK0006_R2_ROI_2,0.3509095757398005,-0.08657169613442359
CRUK0001_R2_ROI_1,0.15644690213629478,1.9094897082847524
CRUK0036_R2_ROI_1,-4.662930077236478,0.1837648603226824
CRUK0002_R1_ROI_2,-4.83428474728979,-0.28579833158782325
CRUK0034_R1_ROI_2,1.2545652602322572,-0.2713977119470194
CRUK0024_R8,-5.751346998355035,-0.47778216548913516
CRUK0041_R2_ROI_1,-6.195647831661019,1.10338606330132
CRUK0012_R1_ROI_2,-1.7288671479614681,0.5598319703620854
CRUK0034_R1_ROI_1,1.6348577741428976,-0.8532524863993057
CRUK0001_R1_ROI_2,0.6682284583734602,0.25851813931902873
CRUK0012_R1_ROI_1,1.3999612925840352,-0.4799490444694048
CRUK0052_R3,-3.118444518984566,0.23319568851597594
CRUK0057_R2_ROI_1,1.1669044370166897,-0.1911950023683231
CRUK0009_R4_ROI_1,-1.9576950179895087,0.5320429678187206
CRUK0051_R4_ROI_1,-2.4398844700118487,-0.16950345429568012
CRUK0024_R7_ROI_2,0.7528588126727844,1.047014996346829
CRUK0001_R3_ROI_2,-4.2568877494104385,0.6175028034969595
CRUK0046_R3_ROI_1,-3.6103157745873364,1.694639860825924
CRUK0009_R2,-2.9957347160135837,0.9770973466661732
CRUK0048_R2,-6.487813309173352,0.3112424185942102
CRUK0034_R3,1.5942158988872852,-0.8062578728679188
CRUK0036_R1_ROI_2,-4.296347480119749,-0.28719319219636547
CRUK0002_R2_ROI_2,-5.175312370301389,-1.2508970724666113
CRUK0015_R1,1.046442360963198,0.7295371076704017
CRUK0046_R3_ROI_2,-2.874302916772872,0.6322309479691328
CRUK0041_R2_ROI_2,-4.175704848129143,0.7553425683111538
CRUK0010_R1_ROI_2,-5.699224181634597,0.3884130150764291
CRUK0036_R3_ROI_2,-4.267914324556216,-0.15433961799665596
CRUK0010_R1_ROI_1,-4.132722480391669,-0.2220631865580533
CRUK0046_R4_ROI_2,-6.074100882589243,-0.27758627627156285
CRUK0010_R2,-3.54590148697634,0.018594966221660913
CRUK0036_R1_ROI_1,-5.136533286411632,-1.3333719848129748
CRUK0001_R1_ROI_1,1.048517351931072,1.077670329616461
CRUK0052_R1_ROI_1,-2.2903583370027465,0.40012528063911307
CRUK0024_R2,-0.0748809937174537,1.8499306531045692
CRUK0015_R2,-2.6126419145162787,0.13389135050172038
CRUK0057_R2_ROI_2,-3.4224320003077775,1.9061431685597194
CRUK0052_R1_ROI_2,-3.1827864511004145,-0.10408312199664378
CRUK0002_R2_ROI_1,-3.993090813920448,0.9365674749104782
CRUK0004_R3_ROI_2,-6.628790341905671,0.8305835178149249
CRUK0036_R3_ROI_1,-6.259880563916441,0.2785156027632056
CRUK0002_R3_ROI_1,-5.353280877838352,-1.1224908357709957
CRUK0009_R4_ROI_2,0.5476771928891099,0.737838125368215
CRUK0003_R6,-0.3927746413518584,1.8392248936620932
CRUK0046_R4_ROI_1,-5.963777319879759,0.7759357444610154
CRUK0051_R4_ROI_2,-2.8969157796796985,1.7589212447940834
CRUK0006_R2_ROI_1,0.920810507114553,-4.2704594680555955e-5
CRUK0024_R1,0.3298951656883612,0.8098728317525811
