ROI,cancer_dim0_PCA_coord1,cancer_dim0_PCA_coord2
CRUK0037_R5_ROI_1,-0.001241505411553201,-0.0004173267184891666
CRUK0052_R4,0.004103182097722175,-0.0007625301163380413
CRUK0037_R5_ROI_2,-0.00015497925834530556,-1.2445167395330121e-5
CRUK0001_R3_ROI_1,-0.0008785444099914297,0.00024955647615317484
CRUK0009_R3_ROI_1,0.0033536872470258648,-0.0004778543318848947
CRUK0037_R4_ROI_2,-0.0010510996044259446,-0.00010586969774392272
CRUK0002_R1_ROI_1,0.0012858010918724346,0.0004531833350297424
CRUK0006_R1_ROI_1,-0.001202162681525029,-0.00034956053917382414
CRUK0001_R2_ROI_2,-0.0011397037944164705,-0.00023542671082176365
CRUK0024_R7_ROI_1,0.0013156516724984878,0.00029117231582532306
CRUK0004_R3_ROI_1,-0.0006696058315133306,0.00012838197555130017
CRUK0009_R3_ROI_2,0.003051218655457361,-0.00047405057879858973
CRUK0036_R2_ROI_2,0.0010263008131674513,0.0006704794791537282
CRUK0037_R2_ROI_2,-0.0012395594101765415,-0.00040925533920391135
CRUK0006_R2_ROI_2,-0.0012449857947602065,-0.00042325499375152836
CRUK0001_R2_ROI_1,-0.000980024907705913,-6.580482106864307e-5
CRUK0036_R2_ROI_1,0.0013871265032582136,0.0004247705769478812
CRUK0002_R1_ROI_2,0.0002517220821512419,0.0005440064959427231
CRUK0034_R1_ROI_2,-0.0009332263176249614,0.00020305930094221224
CRUK0047_R1,-0.0012333231630667382,-0.0003894461989444798
CRUK0006_R1_ROI_2,-0.001223789032778717,-0.0003705748196337563
CRUK0024_R8,-0.0008628124517041583,7.682338801141177e-5
CRUK0041_R2_ROI_1,-0.0004292875486374334,5.923483457381255e-5
CRUK0012_R1_ROI_2,-1.256343769828052e-6,0.0005706910985947384
CRUK0034_R1_ROI_1,-0.000662066850804464,0.0005427173962693208
CRUK0037_R4_ROI_1,-4.3833618824718605e-5,-0.00014689668193957185
CRUK0001_R1_ROI_2,4.736062838561503e-6,7.952590318807515e-5
CRUK0012_R1_ROI_1,-0.0005666260180704669,0.0005001503872138272
CRUK0052_R3,0.001456266484988178,-0.00014353425046593476
CRUK0057_R2_ROI_1,-0.0010563575646405819,-5.8209810814568363e-5
CRUK0009_R4_ROI_1,0.000468803262111445,-0.0001570747177412945
CRUK0051_R4_ROI_1,-0.0009845244459574785,0.00013444431630314988
CRUK0024_R7_ROI_2,0.000442712538220194,0.0006019337821710565
CRUK0001_R3_ROI_2,-0.0011313378782914834,-0.00018420644967159872
CRUK0046_R3_ROI_1,0.003237586597936113,-0.00045076798133169763
CRUK0009_R2,0.0015923896571007625,-0.00032316374198622865
CRUK0048_R2,-0.00047727185716578977,0.00013485456882739638
CRUK0034_R3,0.0016991550769852645,-4.8008949589582664e-5
CRUK0036_R1_ROI_2,0.000988019370305943,0.0006665575135029082
CRUK0002_R2_ROI_2,-0.00036143731509703054,0.0006480237064606108
CRUK0015_R1,0.00019143323613659898,5.304754542684873e-5
CRUK0046_R3_ROI_2,0.0015703832894662496,0.00012203023460230531
CRUK0041_R2_ROI_2,-0.0009209751197017879,-2.2728159936925113e-5
CRUK0005_R3,-0.0012333830643002032,-0.00040356771717277014
CRUK0010_R1_ROI_2,-0.0010540654085198639,-8.924437934167984e-5
CRUK0036_R3_ROI_2,-0.0003604025884650993,0.00044972895465094845
CRUK0010_R1_ROI_1,-0.0010021961486301866,-2.5643642111132394e-5
CRUK0046_R4_ROI_2,0.0017671841033192277,0.00025050698517846117
CRUK0010_R2,0.000523555419731013,7.36867855485674e-5
CRUK0036_R1_ROI_1,0.0016205188436847686,0.00021824801356510877
CRUK0001_R1_ROI_1,-0.0011530884644297148,-0.0002753641445415905
CRUK0052_R1_ROI_1,0.0009642140477354043,0.00046625401424244
CRUK0002_R3_ROI_2,-0.0010689608689002338,1.0485511299258903e-5
CRUK0015_R2,0.000775084731348183,-7.710806302523714e-5
CRUK0024_R2,-0.0008530000590907708,-7.748223648342243e-5
CRUK0057_R2_ROI_2,-0.0009562810145059365,-6.62859291768422e-5
CRUK0005_R1,-0.0012396568130756938,-0.00039897152234946205
CRUK0052_R1_ROI_2,0.0011775587692120944,4.9576995122016705e-5
CRUK0038_R1,-0.0011816045651697857,-0.00030260463521750825
CRUK0002_R2_ROI_1,-0.0009513052702072465,3.2487991149330865e-5
CRUK0005_R4,-0.0012453640403746722,-0.0004096605129401185
CRUK0004_R3_ROI_2,-0.0006295897262176896,8.952105279063007e-5
CRUK0036_R3_ROI_1,0.00022208291520632733,0.00041143141407741534
CRUK0002_R3_ROI_1,-0.00023990743229494377,0.0005971945011111803
CRUK0009_R4_ROI_2,-3.9345275868618676e-5,-0.00013921830055505308
CRUK0003_R6,-0.0012103200238929867,-0.00032605959209640816
CRUK0037_R2_ROI_1,-0.001231692368719328,-0.00036420853223151156
CRUK0046_R4_ROI_1,0.0031469031031701486,-0.0004386685134924349
CRUK0051_R4_ROI_2,-0.0008392344515080632,0.00019289767924828021
CRUK0006_R2_ROI_1,-0.0012448090750081103,-0.00037945656708165563
CRUK0024_R1,0.0008012256170784537,-0.00019512946413310293
