ROI,cancer_leukocytes_dim0_umap_coord1,cancer_leukocytes_dim0_umap_coord2
CRUK0052_R4,-0.274170165126129,-4.058218690853034
CRUK0037_R5_ROI_2,-4.310711724264857,-2.1069416638264973
CRUK0001_R3_ROI_1,-3.9831374037562006,-2.2082651553098867
CRUK0009_R3_ROI_1,-3.4906228137905235,-2.7346208723738172
CRUK0037_R4_ROI_2,-6.022121040477882,-2.6076621939824167
CRUK0002_R1_ROI_1,-0.05030046495539045,-3.1253106288274033
CRUK0006_R1_ROI_1,-6.381613511295079,-1.5349978429725366
CRUK0001_R2_ROI_2,-6.648703147860167,-1.8911024599113435
CRUK0024_R7_ROI_1,2.948459355865421,-5.0761848816487625
CRUK0004_R3_ROI_1,-1.3176683598610661,-4.329407290473037
CRUK0009_R3_ROI_2,3.2187684119417868,-5.151606258518548
CRUK0036_R2_ROI_1,-6.808797845072192,-3.3744521656918205
CRUK0001_R2_ROI_1,-5.260670805125987,-4.309217026808723
CRUK0002_R1_ROI_2,-4.00916575835123,-2.1462544550493967
CRUK0034_R1_ROI_2,3.2378884944437605,-4.590727183669714
CRUK0024_R8,-5.915586482981617,-3.4704522638412025
CRUK0041_R2_ROI_1,-4.468613643015879,-2.3536888184194185
CRUK0012_R1_ROI_2,-1.5293759035510957,-4.420266167026019
CRUK0034_R1_ROI_1,3.447716386584456,-5.1564774798001105
CRUK0001_R1_ROI_2,0.6246199380476548,-3.434745935087189
CRUK0012_R1_ROI_1,-2.9010087216655616,-3.2085846009238415
CRUK0052_R3,-2.3514376578024536,-3.758053896345189
CRUK0057_R2_ROI_1,-2.6488139470074863,-3.4301272102808835
CRUK0009_R4_ROI_1,0.4790782805183094,-3.211247176533316
CRUK0051_R4_ROI_1,-0.6128315413884772,-4.285816900480929
CRUK0024_R7_ROI_2,3.3390669074977977,-5.286518418490126
CRUK0001_R3_ROI_2,-4.860057624164105,-2.724261980545689
CRUK0046_R3_ROI_1,2.904713960250133,-4.841147268720124
CRUK0009_R2,0.5528387120038276,-3.03343402732003
CRUK0048_R2,-4.701781108268846,-2.466322443104252
CRUK0034_R3,3.296732898349755,-4.497629218319668
CRUK0036_R1_ROI_2,-5.924516528108699,-3.9140154807759013
CRUK0002_R2_ROI_2,-7.01068056524837,-3.162794472911189
CRUK0015_R1,-5.112479912057456,-4.479713703265721
CRUK0046_R3_ROI_2,-0.013558595322907294,-3.5065878086754685
CRUK0041_R2_ROI_2,-7.118607853500344,-3.434240146486525
CRUK0010_R1_ROI_2,-6.793161144333896,-3.9058553986985487
CRUK0036_R3_ROI_2,-2.1788483729192483,-4.065197314304283
CRUK0010_R1_ROI_1,-6.1371960373307415,-2.2100220701558584
CRUK0046_R4_ROI_2,2.5754174635924625,-4.713312683219808
CRUK0010_R2,-5.87295123322457,-2.020784387799355
CRUK0036_R1_ROI_1,-6.252103058551465,-1.892531871826183
CRUK0001_R1_ROI_1,-6.246988985456496,-4.0679610146437115
CRUK0052_R1_ROI_1,-0.6606210637213551,-3.8268578799867505
CRUK0024_R2,-6.437007585024449,-1.5789292661667742
CRUK0015_R2,0.09056034261449072,-3.749636427618857
CRUK0057_R2_ROI_2,0.7965143510897083,-3.1691846430372648
CRUK0052_R1_ROI_2,-0.16739174510981294,-3.2491789474029984
CRUK0038_R1,-2.0584733537543727,-4.635063462606212
CRUK0002_R2_ROI_1,-6.382777396129719,-2.760929103765878
CRUK0004_R3_ROI_2,-6.344889292381878,-1.9582876309436374
CRUK0036_R3_ROI_1,-1.758984114411983,-4.253329929541923
CRUK0002_R3_ROI_1,-7.126456723481965,-3.963756575879901
CRUK0009_R4_ROI_2,-4.008665515895287,-2.722849767461616
CRUK0003_R6,-7.12639511486201,-3.8042367758700704
CRUK0046_R4_ROI_1,3.1648699846283255,-4.540787824452187
CRUK0051_R4_ROI_2,-1.6721170274999884,-3.8474632807582863
CRUK0006_R2_ROI_1,-6.420880204758208,-3.615592760788799
CRUK0024_R1,0.35025973528122606,-4.010576812283464
