ROI,cancer_leukocytes_dim1_PCA_coord1,cancer_leukocytes_dim1_PCA_coord2
CRUK0052_R4,3.311931308335662e-5,-1.3342873743218463e-5
CRUK0037_R5_ROI_2,6.615894694969791e-6,9.751046210191219e-6
CRUK0001_R3_ROI_1,-1.872909691431019e-5,2.6227557881594736e-5
CRUK0009_R3_ROI_1,-1.8572490552903177e-5,1.3983336682947197e-5
CRUK0037_R4_ROI_2,-1.447634015852298e-5,3.289583679740909e-5
CRUK0002_R1_ROI_1,1.829580425250746e-5,-8.044199266409838e-6
CRUK0001_R2_ROI_2,-4.053062491764237e-6,6.307128937820062e-6
CRUK0024_R7_ROI_1,7.792812784819121e-5,-5.86998206845402e-6
CRUK0004_R3_ROI_1,6.859159088629493e-6,-1.8685282275542338e-5
CRUK0009_R3_ROI_2,4.066448786798065e-5,1.4608475696841497e-6
CRUK0036_R2_ROI_1,-3.775969354322711e-5,1.1781000697700347e-5
CRUK0001_R2_ROI_1,-2.028968575635563e-5,-3.571302097799562e-6
CRUK0002_R1_ROI_2,-2.7242970930257344e-5,-4.089817874526719e-6
CRUK0034_R1_ROI_2,4.154520068402948e-5,2.7067890816338833e-5
CRUK0024_R8,-2.8755369310606634e-5,-8.077858228193562e-6
CRUK0041_R2_ROI_1,-1.4807504648319674e-5,-4.32461668359244e-6
CRUK0012_R1_ROI_2,-1.00795470882959e-5,-1.1046770687651181e-5
CRUK0034_R1_ROI_1,0.00013059460792178368,-4.502732572710862e-6
CRUK0001_R1_ROI_2,-6.607571002700523e-6,-2.025029275403365e-5
CRUK0012_R1_ROI_1,4.29428716415805e-5,2.0950567542192575e-5
CRUK0052_R3,3.885772818706267e-6,2.5732591697986875e-5
CRUK0057_R2_ROI_1,-1.1702391465417347e-5,4.124419770097492e-5
CRUK0009_R4_ROI_1,-9.08215099637998e-6,-3.341577536893996e-5
CRUK0051_R4_ROI_1,1.0185533832767977e-5,1.7939867965269132e-5
CRUK0024_R7_ROI_2,6.211513969092728e-5,-9.133471640681895e-7
CRUK0001_R3_ROI_2,-2.928540391197001e-5,7.320227315821745e-6
CRUK0046_R3_ROI_1,5.201434333401895e-5,1.3088422331961479e-5
CRUK0009_R2,1.02849625715857e-5,-2.6198401089989674e-5
CRUK0048_R2,-2.8382824641202594e-5,-1.7732747219662666e-5
CRUK0034_R3,4.9531292106691914e-5,-1.4005868933498177e-5
CRUK0036_R1_ROI_2,-2.3505498186772718e-5,-3.876290428467823e-6
CRUK0002_R2_ROI_2,-2.9349177933363654e-5,-1.119447853981927e-5
CRUK0015_R1,-2.873050418020603e-5,-1.790976952895501e-5
CRUK0046_R3_ROI_2,-1.4477333840271959e-5,-1.0796293820677618e-5
CRUK0041_R2_ROI_2,-3.233129271111775e-5,-1.665681517464686e-6
CRUK0010_R1_ROI_2,-2.923313809673408e-5,-5.540567823318614e-8
CRUK0036_R3_ROI_2,-5.349217635025297e-6,7.496012327700081e-6
CRUK0010_R1_ROI_1,-3.077742870087135e-5,-7.519360000955848e-6
CRUK0046_R4_ROI_2,4.219940246044116e-5,2.2398662892490165e-5
CRUK0010_R2,-2.678444467153371e-5,3.309621297276054e-7
CRUK0036_R1_ROI_1,-2.873280656015614e-5,-7.716943566316601e-7
CRUK0001_R1_ROI_1,-1.7621047373080454e-5,-1.7796037318600006e-5
CRUK0052_R1_ROI_1,1.552923936220458e-6,-2.600402825188305e-6
CRUK0024_R2,-2.6841398548597885e-5,-8.609776800558263e-6
CRUK0015_R2,2.716281774223686e-6,-2.388429183839792e-5
CRUK0057_R2_ROI_2,-1.844674075897211e-5,-2.9576621156342416e-5
CRUK0052_R1_ROI_2,1.588720424156363e-5,-1.1059286584519974e-5
CRUK0038_R1,-1.4792485014576004e-5,3.102327589242616e-6
CRUK0002_R2_ROI_1,-7.199645376239352e-6,-4.102986025233116e-7
CRUK0004_R3_ROI_2,-2.6608980641975325e-5,-1.7465010068005592e-6
CRUK0036_R3_ROI_1,-7.609590902122316e-6,2.128521143052811e-5
CRUK0002_R3_ROI_1,-2.314642845716233e-5,3.31214042837437e-5
CRUK0009_R4_ROI_2,3.1319848802680068e-6,1.1967573117128509e-5
CRUK0003_R6,-1.7217494059874465e-5,5.750223904315929e-6
CRUK0046_R4_ROI_1,2.063284496409954e-5,1.3781348074698029e-5
CRUK0051_R4_ROI_2,4.053035271733993e-6,1.9486088109177756e-5
CRUK0006_R2_ROI_1,-3.137195524377943e-5,-2.8837190672875544e-6
CRUK0024_R1,4.319652333838826e-5,-4.804255690693019e-5
