ROI,leukocytes_dim1_umap_coord1,leukocytes_dim1_umap_coord2
CRUK0037_R5_ROI_1,1.8908140575027788,-4.787697251819212
CRUK0052_R4,3.4352008920166544,-3.053524324538861
CRUK0037_R5_ROI_2,0.3764233029923814,-4.604251040938874
CRUK0001_R3_ROI_1,0.5955531639367739,-5.266992475611573
CRUK0009_R3_ROI_1,2.462523123715843,-5.373421009095905
CRUK0037_R4_ROI_2,1.6331520322964275,-5.459016374446913
CRUK0002_R1_ROI_1,3.965156435750825,-3.0823923865273604
CRUK0006_R1_ROI_1,5.617635198603937,1.000502833351106
CRUK0001_R2_ROI_2,0.6986419482808958,-4.418984485262632
CRUK0024_R7_ROI_1,3.6992254248745366,-1.5756923058604393
CRUK0004_R3_ROI_1,3.501934036894481,-1.7639380382882706
CRUK0009_R3_ROI_2,1.315739735520462,-4.041131774090751
CRUK0036_R2_ROI_2,2.1633190528681285,-5.349150712615229
CRUK0037_R2_ROI_2,2.913879323052205,-2.4442206122585417
CRUK0006_R2_ROI_2,6.468369550756242,1.0848669303611265
CRUK0001_R2_ROI_1,-1.86944323358928,-6.942278248128533
CRUK0036_R2_ROI_1,2.710968923689815,-5.745690570854241
CRUK0002_R1_ROI_2,3.5091535734335757,-3.6160092105272827
CRUK0034_R1_ROI_2,7.025672262114783,2.228758320019513
CRUK0047_R1,3.2541171527128108,-3.9100974094820766
CRUK0006_R1_ROI_2,4.493088757908435,-0.07328364008666535
CRUK0024_R8,2.5878825759645236,-5.779665850239466
CRUK0041_R2_ROI_1,-1.5099369728547278,-7.033234142978066
CRUK0012_R1_ROI_2,6.543280383138691,1.6022143538971838
CRUK0034_R1_ROI_1,6.849708033305861,2.084602869774379
CRUK0037_R4_ROI_1,2.480380014706611,-4.785416745390374
CRUK0001_R1_ROI_2,5.350349615522055,0.54693384566517
CRUK0012_R1_ROI_1,4.179537825345442,-0.007244158330224403
CRUK0052_R3,0.5409271875834379,-4.580570277826373
CRUK0057_R2_ROI_1,6.385429979244811,1.437186024549106
CRUK0009_R4_ROI_1,6.082374076393136,0.5965517967945032
CRUK0051_R4_ROI_1,5.0069857412894905,0.2600711570287721
CRUK0024_R7_ROI_2,3.750028534210341,-1.380464671433527
CRUK0001_R3_ROI_2,1.1051573288304524,-3.9057092253844754
CRUK0046_R3_ROI_1,6.53898662729244,1.832307484921004
CRUK0009_R2,5.1493504154578025,0.2560103117894828
CRUK0048_R2,3.7101159904549412,-3.3393300527763885
CRUK0034_R3,6.711342717502882,2.1605248709622744
CRUK0036_R1_ROI_2,1.8912602909855571,-4.319154322389539
CRUK0002_R2_ROI_2,2.1277734326466193,-4.632585438299937
CRUK0015_R1,4.095928185233311,0.055655544888702585
CRUK0046_R3_ROI_2,4.960071130457251,-0.4041396872783774
CRUK0041_R2_ROI_2,0.5027760489371554,-4.033061368527562
CRUK0005_R3,1.4884481304155057,-5.280847367609231
CRUK0010_R1_ROI_2,0.9032236695538771,-5.479488292892831
CRUK0036_R3_ROI_2,0.09492624565100699,-4.081720141030806
CRUK0010_R1_ROI_1,1.8994351759280492,-3.7551736283003594
CRUK0046_R4_ROI_2,3.6332385347372034,-2.31089922796852
CRUK0010_R2,5.558695931604087,-0.01937443429419311
CRUK0036_R1_ROI_1,1.4275412726656218,-4.166732346444525
CRUK0001_R1_ROI_1,3.072902494279614,-3.0090029248299213
CRUK0052_R1_ROI_1,5.2471084176735205,-0.16240352301975727
CRUK0002_R3_ROI_2,2.265268646302894,-4.544519225304321
CRUK0015_R2,3.8325485422170225,-2.075185378672772
CRUK0024_R2,-1.261298945890982,-6.8748789244688355
CRUK0057_R2_ROI_2,6.270943624920267,0.8604431394585149
CRUK0005_R1,3.2592888315869537,-4.008483682044999
CRUK0052_R1_ROI_2,3.9951582881235677,-3.33034778750623
CRUK0038_R1,6.583837650480181,1.2243734314167376
CRUK0002_R2_ROI_1,0.03237820821560308,-4.007707134371401
CRUK0005_R4,2.0089989625777367,-5.148267455215093
CRUK0004_R3_ROI_2,2.6537014911355614,-2.935399829705496
CRUK0036_R3_ROI_1,0.7472028479362494,-5.321636488701579
CRUK0002_R3_ROI_1,1.8644698057886755,-5.672269575403677
CRUK0009_R4_ROI_2,3.0731301847005157,-2.3299731453871613
CRUK0003_R6,0.4612485095875466,-4.858273914443017
CRUK0037_R2_ROI_1,-1.69614455526709,-6.859657133429719
CRUK0046_R4_ROI_1,4.715937997707438,0.4787707020324264
CRUK0051_R4_ROI_2,4.3053393654255485,-0.05396747439518343
CRUK0006_R2_ROI_1,4.714505328538655,0.04200921003250484
CRUK0024_R1,6.912068252130058,2.04982689629973
